Dataset,Method,Asset,Weight
us_financials,BL,JPM,0.0
us_financials,BL,BAC,0.1000000000000005
us_financials,BL,GS,0.1499999999999999
us_financials,BL,MS,0.15
us_financials,BL,WFC,0.15
us_financials,BL,C,0.1499999999999999
us_financials,BL,AXP,0.1499999999999998
us_financials,BL,BLK,0.0
us_financials,BL,SCHW,6.192425882273219e-17
us_financials,BL,PNC,0.0
us_financials,BL,USB,2.359415681718372e-16
us_financials,BL,COF,0.1499999999999998
us_financials,BL,CME,3.0963843936109316e-17
us_financials,BL,ICE,0.0
us_financials,BL,CB,6.624365413176676e-17
us_financials,MVO,JPM,0.1499999999999994
us_financials,MVO,BAC,9.902831592939475e-17
us_financials,MVO,GS,0.1499999999999999
us_financials,MVO,MS,0.1499999999999998
us_financials,MVO,WFC,0.1255320158809754
us_financials,MVO,C,0.1499999999999999
us_financials,MVO,AXP,7.453889935837843e-17
us_financials,MVO,BLK,1.0037001611784556e-16
us_financials,MVO,SCHW,0.124467984119025
us_financials,MVO,PNC,2.7091501784981545e-17
us_financials,MVO,USB,2.5939536976715694e-17
us_financials,MVO,COF,0.1499999999999997
us_financials,MVO,CME,1.5048726154098802e-16
us_financials,MVO,ICE,0.0
us_financials,MVO,CB,2.5634605115704145e-17
us_financials,EW,JPM,0.0666666666666666
us_financials,EW,BAC,0.0666666666666666
us_financials,EW,GS,0.0666666666666666
us_financials,EW,MS,0.0666666666666666
us_financials,EW,WFC,0.0666666666666666
us_financials,EW,C,0.0666666666666666
us_financials,EW,AXP,0.0666666666666666
us_financials,EW,BLK,0.0666666666666666
us_financials,EW,SCHW,0.0666666666666666
us_financials,EW,PNC,0.0666666666666666
us_financials,EW,USB,0.0666666666666666
us_financials,EW,COF,0.0666666666666666
us_financials,EW,CME,0.0666666666666666
us_financials,EW,ICE,0.0666666666666666
us_financials,EW,CB,0.0666666666666666
us_financials,BLM_LLM__gpt_oss_20b,JPM,0.0999999999999996
us_financials,BLM_LLM__gpt_oss_20b,BAC,0.1499999999999999
us_financials,BLM_LLM__gpt_oss_20b,GS,0.1499999999999998
us_financials,BLM_LLM__gpt_oss_20b,MS,0.1499999999999999
us_financials,BLM_LLM__gpt_oss_20b,WFC,8.760353553682876e-17
us_financials,BLM_LLM__gpt_oss_20b,C,7.242470512203171e-17
us_financials,BLM_LLM__gpt_oss_20b,AXP,0.15
us_financials,BLM_LLM__gpt_oss_20b,BLK,1.249000902703301e-16
us_financials,BLM_LLM__gpt_oss_20b,SCHW,0.15
us_financials,BLM_LLM__gpt_oss_20b,PNC,7.068998164605489e-17
us_financials,BLM_LLM__gpt_oss_20b,USB,1.8561541192951838e-16
us_financials,BLM_LLM__gpt_oss_20b,COF,0.15
us_financials,BLM_LLM__gpt_oss_20b,CME,0.0
us_financials,BLM_LLM__gpt_oss_20b,ICE,0.0
us_financials,BLM_LLM__gpt_oss_20b,CB,1.843143693225357e-16
us_financials,RelViewBL__gpt_oss_20b,JPM,4.0521312775954397e-16
us_financials,RelViewBL__gpt_oss_20b,BAC,0.0999999999999988
us_financials,RelViewBL__gpt_oss_20b,GS,0.15
us_financials,RelViewBL__gpt_oss_20b,MS,0.1499999999999999
us_financials,RelViewBL__gpt_oss_20b,WFC,0.0
us_financials,RelViewBL__gpt_oss_20b,C,0.1499999999999998
us_financials,RelViewBL__gpt_oss_20b,AXP,0.15
us_financials,RelViewBL__gpt_oss_20b,BLK,4.475530842102304e-17
us_financials,RelViewBL__gpt_oss_20b,SCHW,7.946155025112358e-18
us_financials,RelViewBL__gpt_oss_20b,PNC,5.481726184086709e-16
us_financials,RelViewBL__gpt_oss_20b,USB,0.15
us_financials,RelViewBL__gpt_oss_20b,COF,0.15
us_financials,RelViewBL__gpt_oss_20b,CME,0.0
us_financials,RelViewBL__gpt_oss_20b,ICE,7.912631139692236e-17
us_financials,RelViewBL__gpt_oss_20b,CB,6.889268620002012e-17
